name,holothurian,echinus,scallop,starfish,fish,corals,diver,cuttlefish,turtle,jellyfish
005310.jpg,0,0,0,0,1,0,0,0,0,0
003219.jpg,1,0,0,1,0,0,0,0,0,0
006663.jpg,0,0,0,0,0,0,0,0,0,1
011190.jpg,0,0,0,0,0,0,1,1,0,0
005247.jpg,0,0,0,0,0,0,0,0,1,0
012606.jpg,0,0,0,0,0,0,0,0,1,0
012937.jpg,0,0,0,0,0,0,1,0,1,0
001096.jpg,1,1,1,1,0,0,0,0,0,0
003824.jpg,1,1,1,1,0,0,0,0,0,0
002716.jpg,1,1,0,1,0,0,0,0,0,0
013691.jpg,0,0,0,0,0,0,0,0,1,0
010517.jpg,0,0,0,0,0,0,0,1,0,0
011005.jpg,0,0,0,0,1,0,0,0,1,0
013645.jpg,0,0,0,0,0,0,0,0,0,1
001009.jpg,1,1,0,0,0,0,0,0,0,0
010293.jpg,0,0,0,0,0,0,1,0,0,0
005871.jpg,0,0,0,0,1,0,1,0,0,0
012504.jpg,0,0,0,0,0,0,0,1,0,0
011577.jpg,0,0,0,0,1,1,0,0,0,0
008975.jpg,0,0,0,0,0,1,0,1,0,0
003516.jpg,1,1,0,0,0,0,0,0,0,0
002125.jpg,1,1,0,1,0,0,0,0,0,0
010174.jpg,0,0,0,0,1,1,0,0,0,0
000186.jpg,0,0,1,0,0,0,0,0,0,0
004219.jpg,0,0,0,0,0,0,0,0,0,1
011836.jpg,0,0,0,0,0,0,1,0,0,0
003973.jpg,0,0,0,0,1,0,1,0,0,0
010052.jpg,0,0,0,0,1,0,1,0,0,0
002641.jpg,0,1,0,1,0,0,0,0,0,0
005565.jpg,0,0,0,0,0,0,1,0,0,0
005819.jpg,0,0,0,0,0,1,0,0,0,0
007517.jpg,0,0,0,0,0,1,0,1,0,0
002290.jpg,1,1,0,1,0,0,0,0,0,0
001667.jpg,0,1,0,1,0,0,0,0,0,0
002213.jpg,1,1,0,1,0,0,0,0,0,0
000475.jpg,0,0,1,0,0,0,0,0,0,0
013582.jpg,0,0,0,0,0,0,0,0,0,1
001642.jpg,0,0,0,1,0,0,0,0,0,0
001328.jpg,0,1,1,1,0,0,0,0,0,0
000981.jpg,1,1,0,1,0,0,0,0,0,0
002444.jpg,1,1,1,1,0,0,0,0,0,0
013930.jpg,0,0,0,0,0,0,0,0,1,0
002919.jpg,0,1,0,1,0,0,0,0,0,0
003200.jpg,1,1,1,1,0,0,0,0,0,0
011549.jpg,0,0,0,0,0,1,0,1,0,0
001092.jpg,1,1,0,1,0,0,0,0,0,0
002862.jpg,1,1,0,1,0,0,0,0,0,0
001932.jpg,0,1,0,1,0,0,0,0,0,0
006917.jpg,0,0,0,0,0,0,1,0,1,0
011240.jpg,0,0,0,0,0,0,0,1,0,0
004017.jpg,0,0,0,0,0,0,1,0,0,0
009719.jpg,0,0,0,0,0,0,1,0,0,0
009123.jpg,0,0,0,0,0,0,0,1,0,0
004411.jpg,1,1,1,0,0,0,0,0,0,0
003049.jpg,0,1,0,1,0,0,0,0,0,0
010677.jpg,0,0,0,0,0,0,0,1,0,0
007452.jpg,0,0,0,0,1,0,0,0,1,0
006493.jpg,0,0,0,0,0,0,1,0,1,0
004974.jpg,0,0,0,0,0,0,0,0,1,0
005407.jpg,0,0,0,0,1,0,0,0,0,0
012647.jpg,0,0,0,0,0,0,0,0,0,1
009166.jpg,0,0,0,0,1,1,1,0,0,0
005874.jpg,0,0,0,0,0,0,1,0,0,0
008793.jpg,0,0,0,0,0,0,0,1,0,0
002404.jpg,1,1,0,1,0,0,0,0,0,0
006335.jpg,0,0,0,0,1,0,0,0,1,0
006157.jpg,0,0,0,0,0,0,1,0,0,0
003944.jpg,0,0,0,0,0,0,0,0,1,0
000455.jpg,0,0,1,1,0,0,0,0,0,0
005086.jpg,0,0,0,0,0,0,0,0,1,0
003941.jpg,0,0,0,0,1,0,0,0,1,0
010709.jpg,0,0,0,0,0,0,0,1,0,0
004926.jpg,0,0,0,0,1,0,0,0,1,0
013556.jpg,0,0,0,0,0,0,0,0,0,1
002901.jpg,1,0,0,1,0,0,0,0,0,0
004386.jpg,1,1,1,0,0,0,0,0,0,0
013438.jpg,0,0,0,0,0,0,0,0,0,1
009830.jpg,0,0,0,0,0,0,1,0,0,0
003601.jpg,1,1,0,0,0,0,0,0,0,0
008444.jpg,0,0,0,0,0,0,1,1,0,0
013960.jpg,0,0,0,0,0,0,0,0,1,0
008325.jpg,0,0,0,0,0,0,0,1,0,0
000126.jpg,1,0,0,1,0,0,0,0,0,0
008571.jpg,0,0,0,0,0,0,0,1,0,0
011044.jpg,0,0,0,0,0,1,0,0,1,0
008832.jpg,0,0,0,0,1,1,0,0,0,0
002015.jpg,1,1,1,1,0,0,0,0,0,0
012056.jpg,0,0,0,0,0,0,0,1,0,0
001138.jpg,1,1,0,0,0,0,0,0,0,0
012716.jpg,0,0,0,0,1,1,0,0,1,0
